,,,,"(6,5)",,"(6,7)",,,,,,"(6,13)",,,,,,"(6,19)",,"(6,21)",,,,
,,"(7,3)",,,"(7,6)",,,,,,,,,,,,,,"(7,20)",,,"(7,23)",,
,,"(8,3)",,,,,,,"(8,10)","(8,11)",,,,"(8,15)","(8,16)",,,,,,,"(8,23)",,
,,"(9,3)",,,,,,,"(9,10)",,,"(9,13)",,,"(9,16)",,,,,,,"(9,23)",,
,,,"(10,4)",,,,"(10,8)","(10,9)",,,,,,,,"(10,17)","(10,18)",,,,"(10,22)",,,
,,,"(11,4)",,,,"(11,8)",,,"(11,11)",,,,"(11,15)",,,"(11,18)",,,,"(11,22)",,,
,,,"(12,4)",,,,,,,,,,,,,,,,,,"(12,22)",,,
"(13,1)","(13,2)","(13,3)","(13,4)","(13,5)","(13,6)",,,"(13,9)",,,,"(13,13)",,,,"(13,17)",,,"(13,20)","(13,21)","(13,22)","(13,23)","(13,24)","(13,25)"
,,,"(14,4)",,,,,,,,,,,,,,,,,,"(14,22)",,,
,,,"(15,4)",,,,"(15,8)",,,"(15,11)",,,,"(15,15)",,,"(15,18)",,,,"(15,22)",,,
,,,"(16,4)",,,,"(16,8)","(16,9)",,,,,,,,"(16,17)","(16,18)",,,,"(16,22)",,,
,,"(17,3)",,,,,,,"(17,10)",,,"(17,13)",,,"(17,16)",,,,,,,"(17,23)",,
,,"(18,3)",,,,,,,"(18,10)","(18,11)",,,,"(18,15)","(18,16)",,,,,,,"(18,23)",,
,,"(19,3)",,,"(19,6)",,,,,,,,,,,,,,"(19,20)",,,"(19,23)",,
,,,,"(20,5)",,"(20,7)",,,,,,"(20,13)",,,,,,"(20,19)",,"(20,21)",,,,
,,,,,"(21,6)",,,,,,,"(21,13)",,,,,,,"(21,20)",,,,,
,"(22,2)",,,,,,,,"(22,10)","(22,11)","(22,12)","(22,13)","(22,14)","(22,15)","(22,16)",,,,,,,,"(22,24)",
,"(23,2)",,,,,"(23,7)","(23,8)","(23,9)",,,,"(23,13)",,,,"(23,17)","(23,18)","(23,19)",,,,,"(23,24)",
,,"(24,3)","(24,4)",,,,,,,,,"(24,13)",,,,,,,,,"(24,22)","(24,23)",,
,,,,,,,,,,,,"(25,13)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,2,,,,,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,,,,,,,,,,,,,,6,,,,,
,,,,,,,,,,,7,,7,,,,,,,,,,,
,,,,,,,8,,,,,,,,,,8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,10,,,,,,10,,,,,,,,10,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,12,,,,,12,,12,,,,,12,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,14,,,,,14,,14,,,,,14,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,16,,,,,,,,16,,,,,,16,,,,,,,,16,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18,,,,,,,,,,18,,,,,,,
,,,,,,,,,,,19,,19,,,,,,,,,,,
,,,,,20,,,,,,,,,,,,,,20,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,22,,,,,,,,,,,,,,,,,,22,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,24,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,25
